paper,model,rank,dataset,seed,strict_f1,accuracy,train_min,params,tag,gpu,ts
P22,Qwen2.5-0.5B-Instruct,4,salad,42,0.75,0.994,7.0,2199552,,NVIDIA GeForce RTX 4090,2026-03-16T02:59:23.121974
P22,Qwen2.5-0.5B-Instruct,4,salad,77,0.5556,0.488,7.0,2199552,,NVIDIA GeForce RTX 4090,2026-03-16T03:14:25.384675
P22,Qwen2.5-0.5B-Instruct,4,salad,123,0.7553,0.996,7.0,2199552,,NVIDIA GeForce RTX 4090,2026-03-16T03:29:24.239820
P22,Qwen2.5-0.5B-Instruct,4,salad,456,0.4,0.478,7.0,2199552,,NVIDIA GeForce RTX 4090,2026-03-16T03:44:27.346964
P22,Qwen2.5-0.5B-Instruct,4,salad,999,0.4553,0.49,7.0,2199552,,NVIDIA GeForce RTX 4090,2026-03-16T03:59:33.413373
P22,Qwen2.5-0.5B-Instruct,128,salad,42,0.7529,0.5,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T04:14:59.099415
P22,Qwen2.5-0.5B-Instruct,128,salad,77,0.7529,0.5,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T04:30:24.116503
P22,Qwen2.5-0.5B-Instruct,128,salad,123,1.0,1.0,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T04:45:46.153345
P22,Qwen2.5-0.5B-Instruct,128,salad,456,1.0,1.0,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T05:01:10.522386
P22,Qwen2.5-0.5B-Instruct,128,salad,999,0.752,0.498,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T05:16:43.127519
P23_bench,4bit,300,840.6,817.3,949.8,4283.0,10.34,NVIDIA GeForce RTX 4090,2026-03-16T05:20:58.290408
P23_bench,8bit,300,2461.1,2400.8,3584.3,1463.0,10.34,NVIDIA GeForce RTX 4090,2026-03-16T05:33:20.361709
P23_bench,16bit,300,478.3,470.7,536.9,7527.0,10.34,NVIDIA GeForce RTX 4090,2026-03-16T05:35:46.337077
P15,Qwen2.5-0.5B-Instruct,64,ag_news,42,0.8888,0.888,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T05:43:58.975218
P15,Qwen2.5-0.5B-Instruct,64,ag_news,77,0.9172,0.92,7.3,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T05:52:11.687414
P15,Qwen2.5-0.5B-Instruct,64,ag_news,123,0.9021,0.904,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T06:00:35.887822
P15,Qwen2.5-0.5B-Instruct,64,ag_news,456,0.9182,0.918,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T06:08:42.230270
P15,Qwen2.5-0.5B-Instruct,64,ag_news,999,0.9195,0.92,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T06:16:49.710186
P22,Qwen2.5-0.5B-Instruct,16,ag_news,42,0.8768,0.876,6.9,8798208,,NVIDIA GeForce RTX 4090,2026-03-16T06:24:40.809817
P22,Qwen2.5-0.5B-Instruct,16,ag_news,77,0.9338,0.936,6.9,8798208,,NVIDIA GeForce RTX 4090,2026-03-16T06:32:32.077213
P22,Qwen2.5-0.5B-Instruct,16,ag_news,123,0.8966,0.898,7.0,8798208,,NVIDIA GeForce RTX 4090,2026-03-16T06:40:25.548409
P22,Qwen2.5-0.5B-Instruct,16,ag_news,456,0.9165,0.916,6.9,8798208,,NVIDIA GeForce RTX 4090,2026-03-16T06:48:16.027083
P22,Qwen2.5-0.5B-Instruct,16,ag_news,999,0.9175,0.918,7.0,8798208,,NVIDIA GeForce RTX 4090,2026-03-16T06:56:08.544548
P22,Qwen2.5-0.5B-Instruct,32,ag_news,42,0.8792,0.878,7.0,17596416,,NVIDIA GeForce RTX 4090,2026-03-16T07:04:04.278847
P22,Qwen2.5-0.5B-Instruct,32,ag_news,77,0.9194,0.922,7.0,17596416,,NVIDIA GeForce RTX 4090,2026-03-16T07:11:59.490276
P22,Qwen2.5-0.5B-Instruct,32,ag_news,123,0.9,0.902,7.0,17596416,,NVIDIA GeForce RTX 4090,2026-03-16T07:19:52.666858
P22,Qwen2.5-0.5B-Instruct,32,ag_news,456,0.908,0.908,7.0,17596416,,NVIDIA GeForce RTX 4090,2026-03-16T07:27:45.288214
P22,Qwen2.5-0.5B-Instruct,32,ag_news,999,0.9254,0.926,6.9,17596416,,NVIDIA GeForce RTX 4090,2026-03-16T07:35:36.889272
P22,Qwen2.5-0.5B-Instruct,64,ag_news,42,0.8888,0.888,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T07:43:45.106340
P22,Qwen2.5-0.5B-Instruct,64,ag_news,77,0.9172,0.92,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T07:51:51.559487
P22,Qwen2.5-0.5B-Instruct,64,ag_news,123,0.9021,0.904,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T07:59:57.276367
P22,Qwen2.5-0.5B-Instruct,64,ag_news,456,0.9182,0.918,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T08:08:06.099084
P22,Qwen2.5-0.5B-Instruct,64,ag_news,999,0.9195,0.92,7.2,35192832,,NVIDIA GeForce RTX 4090,2026-03-16T08:16:11.918776
P22,Qwen2.5-0.5B-Instruct,128,ag_news,42,0.8788,0.878,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T08:24:36.810770
P22,Qwen2.5-0.5B-Instruct,128,ag_news,77,0.9276,0.93,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T08:33:01.829784
P22,Qwen2.5-0.5B-Instruct,128,ag_news,123,0.9003,0.902,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T08:41:25.053162
P22,Qwen2.5-0.5B-Instruct,128,ag_news,456,0.9187,0.918,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T08:49:51.415748
P22,Qwen2.5-0.5B-Instruct,128,ag_news,999,0.9248,0.926,7.5,70385664,,NVIDIA GeForce RTX 4090,2026-03-16T08:58:16.233073
P23_4bit,Qwen2.5-0.5B-Instruct,64,ag_news,42,0.8914,0.89,9.9,35192832,4bit,NVIDIA GeForce RTX 4090,2026-03-16T09:09:31.192603
P23_16bit,Qwen2.5-0.5B-Instruct,64,ag_news,42,0.8888,0.888,7.2,35192832,16bit,NVIDIA GeForce RTX 4090,2026-03-16T09:17:39.881235
P23_4bit,Qwen2.5-0.5B-Instruct,64,ag_news,77,0.9129,0.916,9.8,35192832,4bit,NVIDIA GeForce RTX 4090,2026-03-16T09:28:51.597373
P23_16bit,Qwen2.5-0.5B-Instruct,64,ag_news,77,0.9172,0.92,7.2,35192832,16bit,NVIDIA GeForce RTX 4090,2026-03-16T09:37:21.090948
P23_4bit,Qwen2.5-0.5B-Instruct,64,ag_news,123,0.9002,0.902,9.8,35192832,4bit,NVIDIA GeForce RTX 4090,2026-03-16T09:48:27.929509
P23_16bit,Qwen2.5-0.5B-Instruct,64,ag_news,123,0.9021,0.904,7.3,35192832,16bit,NVIDIA GeForce RTX 4090,2026-03-16T09:56:45.000717
P23_4bit,Qwen2.5-0.5B-Instruct,64,ag_news,456,0.9205,0.92,10.4,35192832,4bit,NVIDIA GeForce RTX 4090,2026-03-16T10:08:28.167660
P23_16bit,Qwen2.5-0.5B-Instruct,64,ag_news,456,0.9182,0.918,7.2,35192832,16bit,NVIDIA GeForce RTX 4090,2026-03-16T10:16:34.845920
P23_4bit,Qwen2.5-0.5B-Instruct,64,ag_news,999,0.9154,0.916,9.8,35192832,4bit,NVIDIA GeForce RTX 4090,2026-03-16T10:27:49.275987
P23_16bit,Qwen2.5-0.5B-Instruct,64,ag_news,999,0.9195,0.92,7.4,35192832,16bit,NVIDIA GeForce RTX 4090,2026-03-16T10:36:09.791472
